ID,Accession Number,Author-Supplied Keywords,Authors,Company/Entity,Cut and Paste,DOI,Document Type,Full Text Word Count,Geographic Terms,ISSN,Notes,People,Publication Model,Reviews & Products,Source,Subject Terms,Title,UR,Full Text (y/n)
PT-0001,156217981,affect theory Covid-19 emotion Post-truth racism Trump,"Davis, Elizabeth^1 ea.davis@mail.utoronto.ca Boler, Megan^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156217981&site=ehost-live&scope=site"">Affect, Protest, Pandemic: Conversations from the crises of 2020.</A> *Database: * Academic Search Premier",10.1080/09502386.2022.2040560,Article,1915,,0950-2386,,"TRUMP, Donald, 1946-",,,"Cultural Studies. May2022, Vol. 36 Issue 3, p355-359. 5p.",*COVID-19 pandemic *RACISM *EMOTIONS *AFRICAN Americans,"Affect, Protest, Pandemic: Conversations from the crises of 2020.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156217981&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156217981&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156217981&site=ehost-live&scope=site>,y
PT-0002,161761427,adolescent e-cigarettes health education media campaign Vape,"Stalgaitis, Carolyn A.^1 (AUTHOR) Jordan, Jeffrey W.^1 (AUTHOR) Isaac, Krysten^1 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761427&site=ehost-live&scope=site"">Creating More Effective Vape Education Campaigns: Qualitative Feedback from Teens in Nine U.S. States.</A> *Database: * Academic Search Premier",10.1080/10826084.2023.2165411,Article,11041,UNITED States,1082-6084,,,,,"Substance Use & Misuse. 2023, Vol. 58 Issue 3, p406-418. 13p. 4 Charts.",*SMOKING prevention *ELECTRONIC cigarettes *SMOKING cessation *EMPATHY *SOCIAL media *MENTAL health *METAPHOR *ADVERTISING *QUALITATIVE research *RESEARCH funding *SMOKING *THEMATIC analysis *VIDEO recording *HEALTH promotion *COVID-19 pandemic *ADOLESCENCE,Creating More Effective Vape Education Campaigns: Qualitative Feedback from Teens in Nine U.S. States.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761427&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761427&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161761427&site=ehost-live&scope=site>,y
PT-0003,161364621,affect Climate change education Deleuze digital media speculative Q4 fiction young people,"Rousell, David^1 david.rousell@rmit.edu.au Wijesinghe, Thilinika^2 Cutter-Mackenzie-Knowles, Amy^3 Osborn, Maia^3",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161364621&site=ehost-live&scope=site"">Digital media, political affect, and a youth to come: rethinking climate change education through Deleuzian dramatisation.</A> *Database: * Academic Search Premier",10.1080/00131911.2021.1965959,Article,8990,,0013-1911,,"DELEUZE, Gilles, 1925-1995",,,"Educational Review. Jan2023, Vol. 75 Issue 1, p33-53. 21p. 7 Color Photographs, 1 Diagram.",*CLIMATE change education *STUDENT activism *STUDENT protesters *ENVIRONMENTAL sciences education *YOUNG adults,"Digital media, political affect, and a youth to come: rethinking climate change education through Deleuzian dramatisation.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161364621&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161364621&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161364621&site=ehost-live&scope=site>,y
PT-0004,174926290,compliance with health measures conspiracy beliefs Covid-19 Dark Triad traits,"Scrumeda, Andreea^1 andreea.scrumeda@gmx.com",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174926290&site=ehost-live&scope=site"">How to protect yourself ... from the protective mask. The Dark Triad traits, conspiracy beliefs and compliance with sanitary measures, during the Covid-19 pandemic.</A> *Database: * Academic Search Premier",,Article,,ROMANIA,2069-1386,,,,,"Annals of the Al. I. Cuza University, Psychology Series. 2023, Vol. 32, p85-99. 15p.",*COVID-19 pandemic *CONSPIRACY theories *HEALTH behavior *SOCIAL medicine *COMMUNICABLE diseases *INDEPENDENT variables *DEPENDENT variables,"How to protect yourself ... from the protective mask. The Dark Triad traits, conspiracy beliefs and compliance with sanitary measures, during the Covid-19 pandemic.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174926290&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174926290&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174926290&site=ehost-live&scope=site>,n
PT-0005,158784767,,"Lemmens, Pieter^1 (AUTHOR)p.lemmens@science.ru.nl",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158784767&site=ehost-live&scope=site"">In Memory of Bernard Stiegler (1 April 1952–5 August 2020).</A> *Database: * Academic Search Premier",10.1007/s10699-020-09746-1,Article,4789,,1233-1821,,,,,"Foundations of Science. Sep2022, Vol. 27 Issue 3, p1021-1028. 8p.",*DIGITAL technology *DISRUPTIVE innovations *BIOLOGICAL evolution *MEMORY *HISTORY of economics *PHILOSOPHY of time,In Memory of Bernard Stiegler (1 April 1952–5 August 2020).,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158784767&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158784767&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158784767&site=ehost-live&scope=site>,y
PT-0006,160352305,,"Mercer, Ben^1 (AUTHOR)ben.mercer@anu.edu.au Pattison, Micaela^2 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160352305&site=ehost-live&scope=site"">European History in the Shadows of Crisis.</A> *Database: * Academic Search Premier",10.1111/ajph.12867,Article,3290,,0004-9522,,,,,"Australian Journal of Politics & History. Sep2022, Vol. 68 Issue 3, p331-336. 6p.",*EUROPEAN history *IMAGINATION *HISTORY of accounting *CRISES *HIGHER education,European History in the Shadows of Crisis.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160352305&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160352305&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160352305&site=ehost-live&scope=site>,y
PT-0007,155689454,Criminality image event Indonesia LGBT mass media police,"Hegarty, Benjamin (AUTHOR)benjamin.hegarty@unimelb.edu.au",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155689454&site=ehost-live&scope=site"">Sex, crime and entertainment: Images of LGBT in the Indonesian news media.</A> *Database: * Academic Search Premier",10.1080/13639811.2022.2035074,Article,9759,INDONESIA,1363-9811,,,,,"Indonesia & the Malay World. Mar2022, Vol. 50 Issue 146, p33-51. 19p.",*POLITICAL participation *NEWS websites *SEX crimes *CRIME *POLICE raids *PUBLIC sphere *SAME-sex marriage,"Sex, crime and entertainment: Images of LGBT in the Indonesian news media.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155689454&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155689454&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155689454&site=ehost-live&scope=site>,y
PT-0008,138123954,authoritarian other narcissism Parable of the Cave Plato post‐truth Primo Levi reality truth autoritärer Anderer Höhlengleichnis Narzißmus Post‐Wahrheit Realität Wahrheit otro autoritario parábola de la caverna Platón posverdad realidad verdad autre autoritariste narcissisme parabole de la caverne post‐vérité réalité vérité altro autoritario narcisismo parabola della caverna Platone post‐verità realtà verità Платон Примо Леви авторитарный другой истина нарциссизм пост‐правда притча о пещере реальность 后真实 普里莫 柏拉图 洞穴寓言 现实 真实 自恋 莱维 集权他者 Language of Keywords: English; German; Spanish; French; Italian; Russian; Chinese,"Willemsen, Hessel^1 (AUTHOR)hw@psychresolution.co.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=138123954&site=ehost-live&scope=site"">Primo Levi's bearing witness and the reinterpreted past: post-truth and the authoritarian other.</A> *Database: * Academic Search Premier",10.1111/1468-5922.12517,Journal Article,7008,,0021-8774,,"LEVI, Primo, 1919-1987",,,"Journal of Analytical Psychology. Sep2019, Vol. 64 Issue 4, p498-511. 14p.",*LIE detectors & detection *FAMILY-work relationship *SENSORY perception *REALISM *WITNESSES *PARABLES,Primo Levi's bearing witness and the reinterpreted past: post-truth and the authoritarian other.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=138123954&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=138123954&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=138123954&site=ehost-live&scope=site>,y
PT-0009,151303973,,"Stewart, Mary Amanda^1 Flint, Patricia^1 Núñez, Mariannella^2",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=151303973&site=ehost-live&scope=site"">Teachers and Diverse Students: A Knowledge-to-Action Reader Response Model to Promote Critical Consciousness.</A> *Database: * Academic Search Premier",10.1080/15210960.2021.1914050,Article,,,1521-0960,,,,,"Multicultural Perspectives. Apr-Jun2021, Vol. 23 Issue 2, p63-72. 10p. 3 Color Photographs, 1 Diagram, 2 Charts.",*CRITICAL consciousness *IMMIGRANTS *TEACHER attitudes *SOCIAL justice *YOUTH,Teachers and Diverse Students: A Knowledge-to-Action Reader Response Model to Promote Critical Consciousness.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=151303973&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=151303973&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=151303973&site=ehost-live&scope=site>,n
PT-0010,146709453,Boundaries boundary management boundary spanning integration programme management,"van Broekhoven, Saskia^1 (AUTHOR)saskia.vanbroekhoven@pbl.nl van Buuren, Arwin^1 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146709453&site=ehost-live&scope=site"">Climate adaptation on the crossroads of multiple boundaries. Managing boundaries in a complex programme context.</A> *Database: * Academic Search Premier",10.1080/09654313.2020.1722066,Article,10759,NETHERLANDS,0965-4313,,,,,"European Planning Studies. Dec2020, Vol. 28 Issue 12, p2368-2389. 22p. 1 Diagram, 4 Charts.",*POLITICAL participation *GEOGRAPHIC boundaries *CLIMATOLOGY *POLITICAL change *COMMUNITY development,Climate adaptation on the crossroads of multiple boundaries. Managing boundaries in a complex programme context.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146709453&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146709453&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146709453&site=ehost-live&scope=site>,y
